iter	Passed	Remaining
400	15376	22969
401	15410	22924
402	15449	22886
403	15484	22843
404	15524	22808
405	15557	22761
406	15589	22714
407	15627	22675
408	15668	22640
409	15703	22598
410	15740	22557
411	15777	22517
412	15812	22473
413	15849	22434
414	15887	22395
415	15923	22353
416	15955	22307
417	15990	22263
418	16028	22225
419	16069	22191
420	16113	22161
421	16153	22124
422	16189	22084
423	16223	22038
424	16254	21990
425	16291	21951
426	16331	21916
427	16364	21869
428	16402	21831
429	16437	21788
430	16476	21752
431	16513	21712
432	16549	21671
433	16586	21631
434	16623	21591
435	16654	21544
436	16685	21496
437	16722	21456
438	16762	21420
439	16798	21379
440	16833	21337
441	16871	21299
442	16905	21256
443	16963	21242
444	17017	21223
445	17058	21189
446	17095	21149
447	17130	21107
448	17167	21067
449	17211	21036
450	17249	20998
451	17285	20956
452	17328	20923
453	17366	20885
454	17404	20846
455	17436	20801
456	17468	20755
457	17506	20717
458	17546	20681
459	17576	20633
460	17615	20595
461	17656	20561
462	17693	20521
463	17726	20477
464	17759	20432
465	17795	20392
466	17829	20349
467	17865	20309
468	17904	20271
469	17940	20231
470	17971	20184
471	18006	20143
472	18048	20109
473	18083	20067
474	18116	20023
475	18147	19977
476	18181	19935
477	18217	19894
478	18253	19853
479	18293	19817
480	18328	19776
481	18364	19735
482	18396	19691
483	18427	19646
484	18460	19602
485	18495	19560
486	18529	19518
487	18560	19473
488	18594	19430
489	18628	19388
490	18665	19350
491	18705	19313
492	18740	19272
493	18774	19230
494	18807	19187
495	18840	19144
496	18875	19103
497	18906	19058
498	18946	19022
499	18981	18981
500	19016	18940
501	19048	18896
502	19078	18850
503	19108	18805
504	19141	18762
505	19175	18720
506	19216	18686
507	19250	18643
508	19280	18598
509	19316	18559
510	19350	18517
511	19385	18476
512	19418	18434
513	19456	18396
514	19490	18355
515	19522	18311
516	19558	18272
517	19592	18230
518	19634	18197
519	19667	18154
520	19697	18109
521	19728	18065
522	19761	18023
523	19798	17984
524	19832	17943
525	19869	17905
526	19903	17863
527	19934	17820
528	19964	17775
529	19996	17733
530	20028	17689
531	20063	17650
532	20108	17618
533	20148	17583
534	20182	17541
535	20217	17501
536	20252	17461
537	20287	17421
538	20322	17381
539	20364	17347
540	20402	17310
541	20441	17273
542	20486	17241
543	20519	17200
544	20562	17167
545	20599	17128
546	20636	17090
547	20668	17047
548	20704	17008
549	20739	16968
550	20774	16929
551	20813	16892
552	20849	16853
553	20884	16812
554	20921	16774
555	20963	16740
556	21004	16705
557	21047	16671
558	21081	16631
559	21114	16590
560	21152	16552
561	21193	16517
562	21234	16482
563	21275	16446
564	21310	16407
565	21342	16365
566	21375	16323
567	21413	16286
568	21448	16246
569	21487	16210
570	21519	16167
571	21551	16126
572	21589	16088
573	21626	16050
574	21656	16007
575	21695	15970
576	21729	15930
577	21762	15888
578	21798	15850
579	21834	15810
580	21872	15774
581	21914	15739
582	21951	15700
583	21988	15662
584	22026	15625
585	22061	15586
586	22101	15550
587	22144	15516
588	22184	15480
589	22231	15449
590	22285	15422
591	22326	15387
592	22368	15352
593	22412	15319
594	22447	15279
595	22489	15244
596	22526	15206
597	22569	15171
598	22603	15131
599	22640	15093
600	22672	15052
601	22702	15009
602	22732	14966
603	22767	14927
604	22821	14899
605	22861	14863
606	22899	14826
607	22929	14783
608	22963	14743
609	22995	14702
610	23035	14666
611	23075	14629
612	23110	14590
613	23141	14548
614	23173	14506
615	23206	14466
616	23238	14425
617	23275	14387
618	23311	14348
619	23341	14306
620	23372	14264
621	23404	14223
622	23440	14184
623	23478	14147
624	23517	14110
625	23552	14071
626	23591	14034
627	23628	13996
628	23660	13955
629	23696	13916
630	23727	13875
631	23793	13854
632	23889	13850
